Sample_name	File_name	Target	Replicates
SRR1088832	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1096057	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1075223	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1077239	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1097035	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1097574	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1343393	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1089562	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1096876	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1089833	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
SRR1098612	rse_gene_Cervix uteri.Rdata	Normal (cervix uteri)	
