Sample_name	File_name	Target	Replicates
Sample_1		PDAC (UMCCR)	
Sample_2		PDAC (UMCCR)	
Sample_3		PDAC (UMCCR)	
Sample_4		PDAC (UMCCR)	
Sample_5		PDAC (UMCCR)	
Sample_6		PDAC (UMCCR)	
Sample_7		PDAC (UMCCR)	
Sample_8		PDAC (UMCCR)	
Sample_9		PDAC (UMCCR)	
Sample_10		PDAC (UMCCR)	
Sample_11		PDAC (UMCCR)	
Sample_12		PDAC (UMCCR)	
Sample_13		PDAC (UMCCR)	
Sample_14		PDAC (UMCCR)	
Sample_15		PDAC (UMCCR)	
Sample_16		PDAC (UMCCR)	
Sample_17		PDAC (UMCCR)	
Sample_18		PDAC (UMCCR)	
Sample_19		PDAC (UMCCR)	
Sample_20		PDAC (UMCCR)	
Sample_21		PDAC (UMCCR)	
Sample_22		PDAC (UMCCR)	
Sample_23		PDAC (UMCCR)	
Sample_24		PDAC (UMCCR)	
Sample_25		PDAC (UMCCR)	
Sample_26		PDAC (UMCCR)	
Sample_27		PDAC (UMCCR)	
Sample_28		PDAC (UMCCR)	
Sample_29		PDAC (UMCCR)	
Sample_30		PDAC (UMCCR)	
Sample_31		PDAC (UMCCR)	
Sample_32		PDAC (UMCCR)	
Sample_33		PDAC (UMCCR)	
Sample_34		PDAC (UMCCR)	
Sample_35		PDAC (UMCCR)	
Sample_36		PDAC (UMCCR)	
Sample_37		PDAC (UMCCR)	
Sample_38		PDAC (UMCCR)	
Sample_39		PDAC (UMCCR)	
Sample_40		PDAC (UMCCR)	
