Sample_name	File_name	Target	Replicates
TCGA-FT-A3EE-01A-11R-A206-07		BLCA (TCGA)	
TCGA-E7-A97P-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-H4-A2HQ-01A-11R-A180-07		BLCA (TCGA)	
TCGA-DK-A1AD-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-E7-A4XJ-01A-11R-A26T-07		BLCA (TCGA)	
TCGA-XF-AAMY-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-CF-A9FH-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A9SI-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-ZF-AA4R-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-ZF-AA4W-01A-12R-A38B-07		BLCA (TCGA)	
TCGA-GV-A3QK-01B-11R-A23N-07		BLCA (TCGA)	
TCGA-XF-A9SV-01A-21R-A42T-07		BLCA (TCGA)	
TCGA-GC-A3YS-01A-11R-A23N-07		BLCA (TCGA)	
TCGA-E7-A7PW-01A-11R-A352-07		BLCA (TCGA)	
TCGA-CF-A47V-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-CU-A5W6-01A-11R-A28M-07		BLCA (TCGA)	
TCGA-HQ-A5NE-01A-12R-A28M-07		BLCA (TCGA)	
TCGA-DK-A1AC-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-K4-A3WS-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-CF-A47Y-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-GV-A40E-01A-12R-A23N-07		BLCA (TCGA)	
TCGA-K4-A4AC-01A-21R-A26T-07		BLCA (TCGA)	
TCGA-GV-A3JV-01A-11R-A220-07		BLCA (TCGA)	
TCGA-GU-A42R-01A-11R-A23N-07		BLCA (TCGA)	
TCGA-XF-AAME-01A-12R-A42T-07		BLCA (TCGA)	
TCGA-GD-A3OP-11A-11R-A220-07		BLCA (TCGA)	
TCGA-XF-A8HF-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-XF-A9SU-01A-31R-A39I-07		BLCA (TCGA)	
TCGA-YC-A8S6-01A-31R-A38B-07		BLCA (TCGA)	
TCGA-GD-A3OQ-11A-21R-A220-07		BLCA (TCGA)	
TCGA-YC-A9TC-01A-22R-A39I-07		BLCA (TCGA)	
TCGA-E5-A4TZ-01A-11R-A31N-07		BLCA (TCGA)	
TCGA-S5-A6DX-01A-11R-A31N-07		BLCA (TCGA)	
TCGA-ZF-A9R7-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-E5-A4U1-01A-11R-A31N-07		BLCA (TCGA)	
TCGA-GV-A3JX-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-G2-AA3B-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-ZF-A9R4-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-AAN5-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-ZF-AA4X-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A9SW-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-BL-A13I-01A-11R-A277-07		BLCA (TCGA)	
TCGA-G2-A2EK-01A-22R-A18C-07		BLCA (TCGA)	
TCGA-GV-A3JZ-01A-11R-A21D-07		BLCA (TCGA)	
TCGA-XF-AAMX-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-4Z-AA83-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-XF-A8HG-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-DK-A1AG-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-CF-A3MH-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-GD-A2C5-01A-12R-A180-07		BLCA (TCGA)	
TCGA-4Z-AA84-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-YC-A89H-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-MV-A51V-01A-11R-A26T-07		BLCA (TCGA)	
TCGA-XF-AAN2-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-UY-A8OD-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-G2-A2EF-01A-12R-A18C-07		BLCA (TCGA)	
TCGA-UY-A9PH-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-ZF-A9R1-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-E7-A7XN-01A-11R-A352-07		BLCA (TCGA)	
TCGA-SY-A9G5-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-C4-A0F1-01A-11R-A034-07		BLCA (TCGA)	
TCGA-DK-A2I2-01A-11R-A180-07		BLCA (TCGA)	
TCGA-GD-A3OP-01A-21R-A220-07		BLCA (TCGA)	
TCGA-CF-A1HS-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-GC-A3WC-01A-31R-A22U-07		BLCA (TCGA)	
