Sample_name	Target
TCGA-B6-A40C-01A-11R-A239-07	BRCA (TCGA)
TCGA-BH-A0AU-11A-11R-A12P-07	BRCA (TCGA)
TCGA-BH-A0AY-11A-23R-A089-07	BRCA (TCGA)
TCGA-BH-A0AZ-11A-22R-A12P-07	BRCA (TCGA)
TCGA-BH-A0B3-11B-21R-A089-07	BRCA (TCGA)
TCGA-BH-A0B7-11A-34R-A115-07	BRCA (TCGA)
TCGA-BH-A0BA-11A-22R-A19E-07	BRCA (TCGA)
TCGA-BH-A0BC-11A-22R-A089-07	BRCA (TCGA)
TCGA-BH-A0BJ-11A-23R-A089-07	BRCA (TCGA)
TCGA-BH-A0BM-11A-12R-A089-07	BRCA (TCGA)
TCGA-BH-A0BQ-11A-33R-A115-07	BRCA (TCGA)
TCGA-BH-A0BS-11A-11R-A12P-07	BRCA (TCGA)
TCGA-BH-A0BT-01A-11R-A12P-07	BRCA (TCGA)
TCGA-BH-A0BT-11A-21R-A12P-07	BRCA (TCGA)
TCGA-BH-A0BV-11A-31R-A089-07	BRCA (TCGA)
TCGA-BH-A0BW-11A-12R-A115-07	BRCA (TCGA)
TCGA-BH-A0BZ-11A-61R-A12P-07	BRCA (TCGA)
TCGA-BH-A0C0-11A-21R-A089-07	BRCA (TCGA)
TCGA-BH-A18J-11A-31R-A12D-07	BRCA (TCGA)
TCGA-BH-A0C3-11A-23R-A12P-07	BRCA (TCGA)
TCGA-BH-A0DG-11A-43R-A12P-07	BRCA (TCGA)
TCGA-BH-A0DH-11A-31R-A089-07	BRCA (TCGA)
TCGA-BH-A0DK-11A-13R-A089-07	BRCA (TCGA)
TCGA-BH-A0DL-11A-13R-A115-07	BRCA (TCGA)
TCGA-BH-A0DO-11A-22R-A12D-07	BRCA (TCGA)
TCGA-A8-A08A-01A-11R-A32Y-07	BRCA (TCGA)
TCGA-A8-A0A6-01A-12R-A056-07	BRCA (TCGA)
TCGA-A8-A07Z-01A-11R-A00Z-07	BRCA (TCGA)
TCGA-BH-A0DP-11A-12R-A089-07	BRCA (TCGA)
