Sample_name	Target
TCGA-3L-AA1B-01A-11R-A37K-07	COAD (TCGA)
TCGA-4N-A93T-01A-11R-A37K-07	COAD (TCGA)
TCGA-4T-AA8H-01A-11R-A41B-07	COAD (TCGA)
TCGA-5M-AAT4-01A-11R-A41B-07	COAD (TCGA)
TCGA-5M-AAT5-01A-21R-A41B-07	COAD (TCGA)
TCGA-5M-AAT6-01A-11R-A41B-07	COAD (TCGA)
TCGA-5M-AATA-01A-31R-A41B-07	COAD (TCGA)
TCGA-5M-AATE-01A-11R-A41B-07	COAD (TCGA)
TCGA-A6-2671-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2675-01A-02R-1723-07	COAD (TCGA)
TCGA-A6-2675-11A-01R-1723-07	COAD (TCGA)
TCGA-A6-2678-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2679-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2680-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2683-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2684-01A-01R-1410-07	COAD (TCGA)
TCGA-A6-2684-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2685-01A-01R-1410-07	COAD (TCGA)
TCGA-A6-2685-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2686-01A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-2686-11A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-5656-01A-21R-1839-07	COAD (TCGA)
TCGA-A6-5657-01A-01R-A32Z-07	COAD (TCGA)
TCGA-A6-5659-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5659-11A-01R-1653-07	COAD (TCGA)
TCGA-A6-5660-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5661-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5662-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5662-11A-01R-1653-07	COAD (TCGA)
TCGA-A6-5664-01A-21R-1839-07	COAD (TCGA)
TCGA-A6-5665-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5665-11A-01R-1653-07	COAD (TCGA)
TCGA-A6-5666-01A-01R-1653-07	COAD (TCGA)
TCGA-A6-5667-01A-21R-1723-07	COAD (TCGA)
TCGA-A6-5667-11A-01R-1723-07	COAD (TCGA)
TCGA-A6-6137-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6138-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6140-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6141-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6142-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6648-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6650-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6651-01A-21R-1839-07	COAD (TCGA)
TCGA-A6-6652-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6653-01A-11R-1774-07	COAD (TCGA)
TCGA-A6-6654-01A-21R-1839-07	COAD (TCGA)
TCGA-A6-6780-01A-11R-1839-07	COAD (TCGA)
TCGA-A6-6781-01A-22R-1928-07	COAD (TCGA)
TCGA-A6-6782-01A-11R-1839-07	COAD (TCGA)
TCGA-A6-A565-01A-31R-A28H-07	COAD (TCGA)
TCGA-A6-A566-01A-11R-A28H-07	COAD (TCGA)
TCGA-A6-A567-01A-31R-A28H-07	COAD (TCGA)
TCGA-A6-A56B-01A-31R-A28H-07	COAD (TCGA)
TCGA-A6-A5ZU-01A-11R-A28H-07	COAD (TCGA)
TCGA-AA-3489-01A-21R-1839-07	COAD (TCGA)
TCGA-AA-3489-11A-01R-1839-07	COAD (TCGA)
TCGA-AA-3492-01A-01R-1410-07	COAD (TCGA)
TCGA-AA-3495-01A-01R-1410-07	COAD (TCGA)
TCGA-AA-3502-01A-01R-1410-07	COAD (TCGA)
TCGA-AA-3509-01A-01R-1410-07	COAD (TCGA)
TCGA-AA-3511-01A-21R-1839-07	COAD (TCGA)
TCGA-AA-3511-11A-01R-1839-07	COAD (TCGA)
TCGA-AA-3514-11A-01R-A32Z-07	COAD (TCGA)
TCGA-AA-3517-11A-01R-A32Z-07	COAD (TCGA)
TCGA-AA-3518-11A-01R-1672-07	COAD (TCGA)
TCGA-AA-3520-11A-01R-A32Z-07	COAD (TCGA)
TCGA-AA-3526-01A-02R-A32Z-07	COAD (TCGA)
TCGA-AA-3534-11A-01R-A32Z-07	COAD (TCGA)
TCGA-AA-3655-01A-02R-1723-07	COAD (TCGA)
TCGA-AA-3655-11A-01R-1723-07	COAD (TCGA)
TCGA-AA-3660-01A-01R-1723-07	COAD (TCGA)
TCGA-AA-3660-11A-01R-1723-07	COAD (TCGA)
TCGA-AA-3663-01A-01R-1723-07	COAD (TCGA)
TCGA-AA-3663-11A-01R-1723-07	COAD (TCGA)
TCGA-AA-3685-01A-02R-A32Z-07	COAD (TCGA)
TCGA-AA-3712-01A-21R-1723-07	COAD (TCGA)
TCGA-AA-3712-11A-01R-1723-07	COAD (TCGA)
TCGA-AA-A01P-01A-21R-A083-07	COAD (TCGA)
TCGA-AA-A01X-01A-21R-A083-07	COAD (TCGA)
TCGA-AA-A01Z-01A-11R-A083-07	COAD (TCGA)
TCGA-AA-A02K-01A-03R-A32Y-07	COAD (TCGA)
TCGA-AA-A02Y-01A-43R-A32Y-07	COAD (TCGA)
TCGA-AD-5900-01A-11R-1653-07	COAD (TCGA)
TCGA-AD-6889-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-6890-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-6899-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-6901-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-6963-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-6965-01A-11R-1928-07	COAD (TCGA)
TCGA-AD-A5EJ-01A-11R-A28H-07	COAD (TCGA)
TCGA-AD-A5EK-01A-11R-A28H-07	COAD (TCGA)
TCGA-AM-5820-01A-01R-1653-07	COAD (TCGA)
TCGA-AM-5821-01A-01R-1653-07	COAD (TCGA)
TCGA-AU-3779-01A-01R-1723-07	COAD (TCGA)
TCGA-AU-6004-01A-11R-1723-07	COAD (TCGA)
TCGA-AY-5543-01A-01R-1653-07	COAD (TCGA)
TCGA-AY-6196-01A-11R-1723-07	COAD (TCGA)
TCGA-AY-6197-01A-11R-1723-07	COAD (TCGA)
TCGA-AY-6386-01A-21R-1723-07	COAD (TCGA)
TCGA-AY-A54L-01A-11R-A28H-07	COAD (TCGA)
TCGA-AY-A69D-01A-11R-A37K-07	COAD (TCGA)
TCGA-AY-A71X-01A-12R-A37K-07	COAD (TCGA)
TCGA-AY-A8YK-01A-11R-A41B-07	COAD (TCGA)
TCGA-AZ-4315-01A-01R-1410-07	COAD (TCGA)
TCGA-AZ-4323-01A-21R-1839-07	COAD (TCGA)
TCGA-AZ-4614-01A-01R-1410-07	COAD (TCGA)
TCGA-AZ-4615-01A-01R-1410-07	COAD (TCGA)
TCGA-AZ-4616-01A-21R-1839-07	COAD (TCGA)
TCGA-AZ-4682-01B-01R-A32Z-07	COAD (TCGA)
TCGA-AZ-4684-01A-01R-1410-07	COAD (TCGA)
TCGA-AZ-5403-01A-01R-1653-07	COAD (TCGA)
TCGA-AZ-5407-01A-01R-1723-07	COAD (TCGA)
TCGA-AZ-6598-01A-11R-1774-07	COAD (TCGA)
TCGA-AZ-6598-11A-01R-1774-07	COAD (TCGA)
TCGA-AZ-6599-01A-11R-1774-07	COAD (TCGA)
TCGA-AZ-6599-11A-01R-1774-07	COAD (TCGA)
TCGA-AZ-6600-01A-11R-1774-07	COAD (TCGA)
TCGA-AZ-6600-11A-01R-1774-07	COAD (TCGA)
TCGA-AZ-6603-01A-11R-1839-07	COAD (TCGA)
TCGA-AZ-6603-11A-02R-1839-07	COAD (TCGA)
TCGA-AZ-6605-01A-11R-1839-07	COAD (TCGA)
TCGA-AZ-6605-11A-01R-1839-07	COAD (TCGA)
TCGA-AZ-6606-01A-11R-1839-07	COAD (TCGA)
TCGA-AZ-6607-01A-11R-1839-07	COAD (TCGA)
TCGA-CA-5254-01A-21R-1839-07	COAD (TCGA)
TCGA-CA-5255-01A-11R-1839-07	COAD (TCGA)
TCGA-CA-5256-01A-01R-1410-07	COAD (TCGA)
TCGA-CA-5796-01A-01R-1653-07	COAD (TCGA)
TCGA-CA-5797-01A-01R-1653-07	COAD (TCGA)
TCGA-CA-6715-01A-21R-1839-07	COAD (TCGA)
TCGA-CA-6716-01A-11R-1839-07	COAD (TCGA)
TCGA-CA-6717-01A-11R-1839-07	COAD (TCGA)
TCGA-CA-6718-01A-11R-1839-07	COAD (TCGA)
TCGA-CA-6719-01A-11R-1839-07	COAD (TCGA)
TCGA-CK-4947-01B-11R-1653-07	COAD (TCGA)
TCGA-CK-4948-01B-11R-1653-07	COAD (TCGA)
TCGA-CK-4950-01A-01R-1723-07	COAD (TCGA)
TCGA-CK-4951-01A-01R-1410-07	COAD (TCGA)
TCGA-CK-4952-01A-01R-1723-07	COAD (TCGA)
TCGA-CK-5913-01A-11R-1653-07	COAD (TCGA)
TCGA-CK-5914-01A-11R-1653-07	COAD (TCGA)
TCGA-CK-5915-01A-11R-1653-07	COAD (TCGA)
TCGA-CK-5916-01A-11R-1653-07	COAD (TCGA)
TCGA-CK-6746-01A-11R-1839-07	COAD (TCGA)
TCGA-CK-6747-01A-11R-1839-07	COAD (TCGA)
TCGA-CK-6748-01A-11R-1839-07	COAD (TCGA)
TCGA-CK-6751-01A-11R-1839-07	COAD (TCGA)
TCGA-CM-4743-01A-01R-1723-07	COAD (TCGA)
TCGA-CM-4744-01A-01R-A32Z-07	COAD (TCGA)
TCGA-CM-4747-01A-01R-1410-07	COAD (TCGA)
TCGA-CM-4751-01A-02R-1839-07	COAD (TCGA)
TCGA-CM-5344-01A-21R-1723-07	COAD (TCGA)
TCGA-CM-5348-01A-21R-1723-07	COAD (TCGA)
TCGA-CM-5349-01A-21R-1723-07	COAD (TCGA)
TCGA-CM-5860-01A-01R-1653-07	COAD (TCGA)
TCGA-CM-5861-01A-01R-1653-07	COAD (TCGA)
TCGA-CM-5862-01A-01R-1653-07	COAD (TCGA)
