Sample_name	Target
TCGA-3Z-A93Z-01A-11R-A37O-07	KIRC (TCGA)
TCGA-6D-AA2E-01A-11R-A37O-07	KIRC (TCGA)
TCGA-A3-3306-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3308-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3311-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3313-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3316-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3317-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3319-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3320-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3322-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3323-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3324-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3326-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3331-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3335-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3346-01A-01R-1766-07	KIRC (TCGA)
TCGA-A3-3347-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3349-01A-01R-1188-07	KIRC (TCGA)
TCGA-A3-3351-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3352-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3357-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3362-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3363-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3365-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3367-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3370-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3372-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3373-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3374-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3376-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3378-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3380-01A-01R-0864-07	KIRC (TCGA)
TCGA-A3-3382-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3383-01A-02R-1325-07	KIRC (TCGA)
TCGA-A3-3385-01A-02R-1420-07	KIRC (TCGA)
TCGA-A3-3387-01A-01R-1541-07	KIRC (TCGA)
TCGA-A3-3387-11A-01R-1541-07	KIRC (TCGA)
TCGA-A3-A6NI-01A-11R-A33J-07	KIRC (TCGA)
TCGA-A3-A6NJ-01A-12R-A33J-07	KIRC (TCGA)
TCGA-A3-A6NL-01A-11R-A33J-07	KIRC (TCGA)
TCGA-A3-A6NN-01A-12R-A33J-07	KIRC (TCGA)
TCGA-A3-A8CQ-01A-11R-A37O-07	KIRC (TCGA)
TCGA-A3-A8OU-01A-11R-A37O-07	KIRC (TCGA)
TCGA-A3-A8OV-01A-11R-A37O-07	KIRC (TCGA)
TCGA-A3-A8OW-01A-11R-A37O-07	KIRC (TCGA)
TCGA-A3-A8OX-01A-11R-A37O-07	KIRC (TCGA)
TCGA-AK-3458-01A-01R-1503-07	KIRC (TCGA)
TCGA-AK-3460-01A-02R-1277-07	KIRC (TCGA)
TCGA-AK-3461-01A-02R-1277-07	KIRC (TCGA)
TCGA-AK-3465-01A-02R-1325-07	KIRC (TCGA)
TCGA-AS-3777-01A-01R-0864-07	KIRC (TCGA)
TCGA-AS-3778-01A-01R-A32Z-07	KIRC (TCGA)
TCGA-B0-4701-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4703-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4706-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4710-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4713-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4714-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4718-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4810-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4811-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4813-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4814-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4816-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4817-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4818-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4819-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4821-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4822-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4823-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-4824-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4827-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-4828-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4833-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4834-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4836-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4837-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4838-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4839-01A-01R-1305-07	KIRC (TCGA)
TCGA-B0-4841-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4842-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-4843-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4844-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4845-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4846-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4847-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4848-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4849-01A-01R-1277-07	KIRC (TCGA)
TCGA-B0-4852-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-4945-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5075-01A-01R-1334-07	KIRC (TCGA)
TCGA-B0-5077-01A-01R-1334-07	KIRC (TCGA)
TCGA-B0-5080-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-5081-01A-01R-1334-07	KIRC (TCGA)
TCGA-B0-5083-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-5084-01A-01R-1334-07	KIRC (TCGA)
TCGA-B0-5085-01A-01R-1334-07	KIRC (TCGA)
TCGA-B0-5092-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5094-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5095-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5096-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5097-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5098-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5099-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5100-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5102-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5104-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5106-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5107-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5108-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5109-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-5110-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5113-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5115-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5116-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-5117-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5119-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-5120-01A-01R-1420-07	KIRC (TCGA)
TCGA-B0-5121-01A-02R-1420-07	KIRC (TCGA)
TCGA-B0-5399-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-5400-01A-01R-1503-07	KIRC (TCGA)
TCGA-B0-5402-11A-01R-1503-07	KIRC (TCGA)
TCGA-B0-5690-01A-11R-1541-07	KIRC (TCGA)
TCGA-B0-5690-11A-01R-1541-07	KIRC (TCGA)
TCGA-BP-4325-01A-02R-1289-07	KIRC (TCGA)
TCGA-BP-4326-01A-01R-1289-07	KIRC (TCGA)
TCGA-BP-4329-01A-02R-1289-07	KIRC (TCGA)
TCGA-BP-4330-01A-01R-1289-07	KIRC (TCGA)
TCGA-BP-4332-01A-01R-1289-07	KIRC (TCGA)
TCGA-BP-4335-01A-01R-1289-07	KIRC (TCGA)
