Sample_name	Target
TCGA-OR-A5J1-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J2-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J3-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J5-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J6-01A-31R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J7-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J8-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5J9-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5JA-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-OR-A5JB-01A-11R-A29S-07	PAN-CAN (TCGA)
TCGA-FT-A3EE-01A-11R-A206-07	PAN-CAN (TCGA)
TCGA-E7-A97P-01A-11R-A38B-07	PAN-CAN (TCGA)
TCGA-H4-A2HQ-01A-11R-A180-07	PAN-CAN (TCGA)
TCGA-DK-A1AD-01A-11R-A13Y-07	PAN-CAN (TCGA)
TCGA-E7-A4XJ-01A-11R-A26T-07	PAN-CAN (TCGA)
TCGA-XF-AAMY-01A-11R-A42T-07	PAN-CAN (TCGA)
TCGA-CF-A9FH-01A-11R-A38B-07	PAN-CAN (TCGA)
TCGA-XF-A9SI-01A-11R-A39I-07	PAN-CAN (TCGA)
TCGA-ZF-AA4R-01A-11R-A38B-07	PAN-CAN (TCGA)
TCGA-ZF-AA4W-01A-12R-A38B-07	PAN-CAN (TCGA)
TCGA-B6-A40C-01A-11R-A239-07	PAN-CAN (TCGA)
TCGA-BH-A0BT-01A-11R-A12P-07	PAN-CAN (TCGA)
TCGA-AQ-A7U7-01A-22R-A352-07	PAN-CAN (TCGA)
TCGA-A8-A08A-01A-11R-A32Y-07	PAN-CAN (TCGA)
TCGA-A8-A0A6-01A-12R-A056-07	PAN-CAN (TCGA)
TCGA-A8-A07Z-01A-11R-A00Z-07	PAN-CAN (TCGA)
TCGA-AC-A5XU-01A-11R-A28M-07	PAN-CAN (TCGA)
TCGA-E2-A15J-01A-11R-A12P-07	PAN-CAN (TCGA)
TCGA-EW-A6SB-01A-12R-A32P-07	PAN-CAN (TCGA)
TCGA-EW-A6SC-01A-12R-A32P-07	PAN-CAN (TCGA)
TCGA-C5-A1MF-01A-11R-A13Y-07	PAN-CAN (TCGA)
TCGA-VS-A959-01A-11R-A42T-07	PAN-CAN (TCGA)
TCGA-DS-A0VN-01A-21R-A10U-07	PAN-CAN (TCGA)
TCGA-EA-A5FO-01A-21R-A28H-07	PAN-CAN (TCGA)
TCGA-C5-A2LX-01A-11R-A18M-07	PAN-CAN (TCGA)
TCGA-MY-A5BD-01A-11R-A26T-07	PAN-CAN (TCGA)
TCGA-EK-A3GN-01A-11R-A213-07	PAN-CAN (TCGA)
TCGA-EA-A6QX-01A-12R-A33Z-07	PAN-CAN (TCGA)
TCGA-VS-A8QF-01A-21R-A37O-07	PAN-CAN (TCGA)
TCGA-C5-A8YQ-01A-11R-A37O-07	PAN-CAN (TCGA)
TCGA-3X-AAV9-01A-72R-A41I-07	PAN-CAN (TCGA)
TCGA-3X-AAVA-01A-11R-A41I-07	PAN-CAN (TCGA)
TCGA-3X-AAVB-01A-31R-A41I-07	PAN-CAN (TCGA)
TCGA-3X-AAVE-01A-11R-A41I-07	PAN-CAN (TCGA)
TCGA-4G-AAZO-01A-12R-A41I-07	PAN-CAN (TCGA)
TCGA-4G-AAZT-01A-11R-A41I-07	PAN-CAN (TCGA)
TCGA-W5-AA2G-01A-11R-A41I-07	PAN-CAN (TCGA)
TCGA-W5-AA2H-01A-31R-A41I-07	PAN-CAN (TCGA)
TCGA-W5-AA2I-01A-32R-A41I-07	PAN-CAN (TCGA)
TCGA-W5-AA2O-01A-11R-A41I-07	PAN-CAN (TCGA)
TCGA-3L-AA1B-01A-11R-A37K-07	PAN-CAN (TCGA)
TCGA-4N-A93T-01A-11R-A37K-07	PAN-CAN (TCGA)
TCGA-4T-AA8H-01A-11R-A41B-07	PAN-CAN (TCGA)
