Sample_name	Target
TCGA-2A-A8VL-01A-21R-A37L-07	PRAD (TCGA)
TCGA-2A-A8VO-01A-11R-A37L-07	PRAD (TCGA)
TCGA-2A-A8VT-01A-11R-A37L-07	PRAD (TCGA)
TCGA-2A-A8VV-01A-11R-A37L-07	PRAD (TCGA)
TCGA-2A-A8W1-01A-11R-A37L-07	PRAD (TCGA)
TCGA-2A-A8W3-01A-11R-A37L-07	PRAD (TCGA)
TCGA-2A-AAYF-01A-11R-A41O-07	PRAD (TCGA)
TCGA-2A-AAYO-01A-11R-A41O-07	PRAD (TCGA)
TCGA-2A-AAYU-01A-11R-A41O-07	PRAD (TCGA)
TCGA-4L-AA1F-01A-11R-A41O-07	PRAD (TCGA)
TCGA-EJ-7218-01B-11R-A32O-07	PRAD (TCGA)
TCGA-EJ-7315-11A-01R-2118-07	PRAD (TCGA)
TCGA-EJ-7318-01B-11R-A32O-07	PRAD (TCGA)
TCGA-EJ-7327-11A-01R-2118-07	PRAD (TCGA)
TCGA-EJ-7793-11A-01R-2263-07	PRAD (TCGA)
TCGA-EJ-7794-11A-01R-2118-07	PRAD (TCGA)
TCGA-EJ-A6RA-01A-11R-A33R-07	PRAD (TCGA)
TCGA-EJ-A6RC-01A-11R-A32O-07	PRAD (TCGA)
TCGA-EJ-A7NF-01A-11R-A33R-07	PRAD (TCGA)
TCGA-EJ-A7NG-01A-31R-A33R-07	PRAD (TCGA)
TCGA-EJ-A7NH-01A-12R-A33R-07	PRAD (TCGA)
TCGA-EJ-A7NJ-01A-22R-A352-07	PRAD (TCGA)
TCGA-EJ-A7NK-01A-12R-A352-07	PRAD (TCGA)
TCGA-EJ-A7NM-01A-21R-A33R-07	PRAD (TCGA)
TCGA-EJ-A7NN-01A-11R-A33R-07	PRAD (TCGA)
TCGA-EJ-A8FN-01A-11R-A352-07	PRAD (TCGA)
TCGA-EJ-A8FO-11A-11R-A36G-07	PRAD (TCGA)
TCGA-EJ-A8FS-01A-11R-A352-07	PRAD (TCGA)
TCGA-EJ-A8FU-01A-11R-A36G-07	PRAD (TCGA)
TCGA-EJ-AB27-01A-11R-A41O-07	PRAD (TCGA)
TCGA-FC-A8O0-01A-41R-A37L-07	PRAD (TCGA)
TCGA-G9-6333-11A-01R-1965-07	PRAD (TCGA)
TCGA-G9-6356-11A-01R-1789-07	PRAD (TCGA)
TCGA-G9-6365-11A-01R-1789-07	PRAD (TCGA)
TCGA-G9-7509-01A-11R-A41O-07	PRAD (TCGA)
TCGA-G9-A9S0-01A-11R-A41O-07	PRAD (TCGA)
TCGA-G9-A9S4-01A-11R-A41O-07	PRAD (TCGA)
TCGA-G9-A9S7-01A-11R-A41O-07	PRAD (TCGA)
TCGA-HC-7737-11A-02R-2118-07	PRAD (TCGA)
TCGA-HC-7740-11A-01R-2118-07	PRAD (TCGA)
TCGA-HC-7742-11A-01R-2118-07	PRAD (TCGA)
TCGA-HC-7747-11A-01R-2118-07	PRAD (TCGA)
TCGA-HC-8258-11A-01R-2263-07	PRAD (TCGA)
TCGA-HC-8260-11A-01R-2263-07	PRAD (TCGA)
TCGA-HC-A76W-01A-11R-A33R-07	PRAD (TCGA)
TCGA-HC-A76X-01A-11R-A33R-07	PRAD (TCGA)
TCGA-HC-A8CY-01A-11R-A36G-07	PRAD (TCGA)
TCGA-HC-A8D0-01A-11R-A36G-07	PRAD (TCGA)
TCGA-HC-A8D1-01A-11R-A36G-07	PRAD (TCGA)
TCGA-HC-A9TE-01A-11R-A41O-07	PRAD (TCGA)
TCGA-HC-A9TH-01A-11R-A41O-07	PRAD (TCGA)
TCGA-J4-A83I-01A-11R-A36G-07	PRAD (TCGA)
TCGA-J4-A83J-11A-11R-A36G-07	PRAD (TCGA)
TCGA-J4-A83K-01A-11R-A352-07	PRAD (TCGA)
TCGA-J4-A83L-01A-11R-A352-07	PRAD (TCGA)
TCGA-J4-A83M-01A-11R-A352-07	PRAD (TCGA)
TCGA-J4-A83N-01A-11R-A352-07	PRAD (TCGA)
TCGA-J4-AATV-01A-11R-A41O-07	PRAD (TCGA)
TCGA-J4-AATZ-01A-11R-A41O-07	PRAD (TCGA)
TCGA-J4-AAU2-01A-11R-A41O-07	PRAD (TCGA)
TCGA-J9-A52D-01A-11R-A29R-07	PRAD (TCGA)
TCGA-J9-A8CK-01A-11R-A352-07	PRAD (TCGA)
TCGA-J9-A8CL-01A-11R-A352-07	PRAD (TCGA)
TCGA-J9-A8CM-01A-11R-A352-07	PRAD (TCGA)
TCGA-J9-A8CN-01A-11R-A352-07	PRAD (TCGA)
TCGA-J9-A8CP-01A-11R-A352-07	PRAD (TCGA)
TCGA-KC-A7F3-01A-21R-A33R-07	PRAD (TCGA)
TCGA-KC-A7F6-01A-11R-A33R-07	PRAD (TCGA)
TCGA-KC-A7FA-01A-21R-A33R-07	PRAD (TCGA)
TCGA-KC-A7FD-01A-11R-A33R-07	PRAD (TCGA)
TCGA-KC-A7FE-01A-12R-A33R-07	PRAD (TCGA)
TCGA-KK-A5A1-01A-11R-A29R-07	PRAD (TCGA)
TCGA-KK-A7AP-01A-12R-A33R-07	PRAD (TCGA)
TCGA-KK-A7AU-01A-11R-A32O-07	PRAD (TCGA)
TCGA-KK-A7AV-01A-11R-A32O-07	PRAD (TCGA)
TCGA-KK-A7B1-01A-11R-A32O-07	PRAD (TCGA)
TCGA-KK-A7B3-01A-11R-A33R-07	PRAD (TCGA)
TCGA-KK-A7B4-01A-11R-A32O-07	PRAD (TCGA)
TCGA-KK-A8I4-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8I5-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8I6-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8I8-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8I9-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IA-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IB-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IC-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8ID-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IF-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IG-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IH-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8II-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IJ-01A-11R-A352-07	PRAD (TCGA)
TCGA-KK-A8IK-01A-11R-A36G-07	PRAD (TCGA)
TCGA-KK-A8IL-01A-11R-A36G-07	PRAD (TCGA)
TCGA-M7-A71Y-01A-22R-A32O-07	PRAD (TCGA)
TCGA-M7-A720-01A-12R-A32O-07	PRAD (TCGA)
TCGA-M7-A721-01A-12R-A32O-07	PRAD (TCGA)
TCGA-M7-A722-01A-12R-A36G-07	PRAD (TCGA)
TCGA-M7-A725-01A-12R-A32O-07	PRAD (TCGA)
TCGA-SU-A7E7-01A-22R-A33R-07	PRAD (TCGA)
TCGA-TK-A8OK-01A-22R-A36G-07	PRAD (TCGA)
TCGA-TP-A8TT-01A-12R-A41O-07	PRAD (TCGA)
TCGA-TP-A8TV-01A-11R-A41O-07	PRAD (TCGA)
TCGA-V1-A8MF-01A-11R-A36G-07	PRAD (TCGA)
TCGA-V1-A8MG-01A-11R-A36G-07	PRAD (TCGA)
TCGA-V1-A8MJ-01A-11R-A36G-07	PRAD (TCGA)
