SYMBOL	CIC
BATF	T cell
BTLA	T cell
CCL11	T cell
CCL17	T cell
CCL22	T cell
CCL3	T cell
CCL5	T cell
CCL7	T cell
CCR1	T cell
CCR3	T cell
CCR4	T cell
CCR8	T cell
CD1A	T cell
CD1B	T cell
CD1C	T cell
CD1D	T cell
CD1E	T cell
CD247	T cell
CD28	T cell
CD3D	T cell
CD3E	T cell
CD3G	T cell
CD69	T cell
CD8A	T cell
CXCR1	T cell
CXCR4	T cell
CXCR5	T cell
CXCR6	T cell
FGFBP2	T cell
FLT3	T cell
FOSL1	T cell
GRAP2	T cell
HLA-DRA	T cell
HLA-DRB1	T cell
HLA-DRB5	T cell
HRH2	T cell
IFNG	T cell
IL10	T cell
IL12B	T cell
IL12RB1	T cell
IL12RB2	T cell
IL18R1	T cell
IL18RAP	T cell
IL1B	T cell
IL21	T cell
IL21R	T cell
IL24	T cell
IL26	T cell
IL27	T cell
IL2RA	T cell
IL6	T cell
IL7	T cell
IRF4	T cell
IRF8	T cell
ITGAL	T cell
ITK	T cell
JAK2	T cell
JAK3	T cell
LAIR1	T cell
LAT	T cell
LAX1	T cell
LCK	T cell
LCP2	T cell
LILRA3	T cell
LILRA4	T cell
LILRB1	T cell
LILRB2	T cell
LILRB3	T cell
LILRB4	T cell
MS4A4A	T cell
NAPSB	T cell
NFATC1	T cell
NFKB2	T cell
P2RY14	T cell
PIK3CD	T cell
POU2F2	T cell
PRF1	T cell
RUNX3	T cell
SPI1	T cell
STAT1	T cell
STAT4	T cell
TNF	T cell
TPRG1	T cell
TSLP	T cell
UBASH3B	T cell
ZAP70	T cell
PLA1A	Activated dendritic cell
HESX1	Activated dendritic cell
MMP12	Activated dendritic cell
TNFAIP6	Activated dendritic cell
MSC	Activated dendritic cell
CCL8	Activated dendritic cell
DHX58	Activated dendritic cell
IDO	Activated dendritic cell
RSAD2	Activated dendritic cell
IFI44L	Activated dendritic cell
HTR2B	Activated dendritic cell
PTGIR	Activated dendritic cell
TREM2	Activated dendritic cell
ST3GAL6	Activated dendritic cell
CYP27A1	Activated dendritic cell
FAM70A	Activated dendritic cell
KYNU	Activated dendritic cell
RASSF4	Activated dendritic cell
IL2RA	Activated dendritic cell
SLC2A6	Activated dendritic cell
CCL5	Activated dendritic cell
CD80	Activated dendritic cell
FPR3	Activated dendritic cell
SLC15A3	Activated dendritic cell
CD86	Activated dendritic cell
PDCD1LG2	Activated dendritic cell
CXCL10	Activated dendritic cell
CXCL11	Activated dendritic cell
TNFRSF4	Activated dendritic cell
EBI3	Activated dendritic cell
ARHGAP22	Activated dendritic cell
PLA2G7	Activated dendritic cell
CCL18	Activated dendritic cell
LAMP3	Activated dendritic cell
SIGLEC1	Activated dendritic cell
CCL1	Activated dendritic cell
CCL13	Activated dendritic cell
NR4A3	Activated dendritic cell
CLIC2	Activated dendritic cell
BIRC3	Activated dendritic cell
CCL20	Activated dendritic cell
TNFRSF11A	Activated dendritic cell
IL12B	Activated dendritic cell
CCL19	Activated dendritic cell
CCR7	Activated dendritic cell
CD1E	Activated dendritic cell
CD1B	Activated dendritic cell
CCL17	Activated dendritic cell
CCL22	Activated dendritic cell
SLCO5A1	Activated dendritic cell
