Sample_name	Target
TCGA-W5-AA2I-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2Q-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2R-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2U-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2X-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA30-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA31-11A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA34-11A-11R-A41I-07	CHOL (TCGA)
TCGA-ZU-A8S4-11A-11R-A41I-07	CHOL (TCGA)
TCGA-3X-AAV9-01A-72R-A41I-07	CHOL (TCGA)
TCGA-3X-AAVA-01A-11R-A41I-07	CHOL (TCGA)
TCGA-3X-AAVB-01A-31R-A41I-07	CHOL (TCGA)
TCGA-3X-AAVE-01A-11R-A41I-07	CHOL (TCGA)
TCGA-4G-AAZO-01A-12R-A41I-07	CHOL (TCGA)
TCGA-4G-AAZT-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2G-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2H-01A-31R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2I-01A-32R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2O-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2Q-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2R-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2T-01A-12R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2U-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2W-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2X-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA2Z-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA30-01A-31R-A41I-07	CHOL (TCGA)
TCGA-W5-AA31-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA33-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA34-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA38-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W5-AA39-01A-11R-A41I-07	CHOL (TCGA)
TCGA-W6-AA0S-01A-11R-A41I-07	CHOL (TCGA)
TCGA-WD-A7RX-01A-12R-A41I-07	CHOL (TCGA)
TCGA-YR-A95A-01A-12R-A41I-07	CHOL (TCGA)
TCGA-ZD-A8I3-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y1-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y2-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y4-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y5-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y6-01A-11R-A41I-07	CHOL (TCGA)
TCGA-ZH-A8Y8-01A-51R-A41I-07	CHOL (TCGA)
TCGA-ZU-A8S4-01A-11R-A41I-07	CHOL (TCGA)
