Sample_name	Target
TCGA-FA-8693-01A-11R-2404-07	DLBC (TCGA)
TCGA-FA-A4BB-01A-11R-A31O-07	DLBC (TCGA)
TCGA-FA-A4XK-01A-11R-A31O-07	DLBC (TCGA)
TCGA-FA-A6HN-01A-11R-A31O-07	DLBC (TCGA)
TCGA-FA-A6HO-01A-11R-A31O-07	DLBC (TCGA)
TCGA-FA-A7DS-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FA-A7Q1-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FA-A82F-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FA-A86F-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FF-8041-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8042-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8043-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8046-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8047-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8061-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-8062-01A-11R-2213-07	DLBC (TCGA)
TCGA-FF-A7CQ-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FF-A7CR-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FF-A7CW-01A-11R-A38C-07	DLBC (TCGA)
TCGA-FF-A7CX-01A-12R-A38C-07	DLBC (TCGA)
TCGA-FM-8000-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6324-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6325-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6326-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6907-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6909-01A-11R-2213-07	DLBC (TCGA)
TCGA-G8-6914-01A-11R-2213-07	DLBC (TCGA)
TCGA-GR-7351-01A-11R-2213-07	DLBC (TCGA)
TCGA-GR-7353-01A-11R-2213-07	DLBC (TCGA)
TCGA-GR-A4D4-01A-11R-A31O-07	DLBC (TCGA)
TCGA-GR-A4D5-01A-11R-A31O-07	DLBC (TCGA)
TCGA-GR-A4D6-01A-11R-A31O-07	DLBC (TCGA)
TCGA-GR-A4D9-01B-11R-A31O-07	DLBC (TCGA)
TCGA-GS-A9TQ-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TT-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TU-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TV-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TW-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TX-01A-11R-A38C-07	DLBC (TCGA)
TCGA-GS-A9TY-01A-11R-A39D-07	DLBC (TCGA)
TCGA-GS-A9TZ-01A-11R-A39D-07	DLBC (TCGA)
TCGA-GS-A9U3-01A-11R-A39D-07	DLBC (TCGA)
TCGA-GS-A9U4-01A-11R-A39D-07	DLBC (TCGA)
TCGA-RQ-A68N-01A-11R-A31O-07	DLBC (TCGA)
TCGA-RQ-A6JB-01A-11R-A31O-07	DLBC (TCGA)
TCGA-RQ-AAAT-01A-11R-A39D-07	DLBC (TCGA)
TCGA-VB-A8QN-01A-11R-A38C-07	DLBC (TCGA)
