Sample_name	Target
TCGA-4P-AA8J-01A-11R-A39I-07	HNSC (TCGA)
TCGA-BA-4074-01A-01R-1436-07	HNSC (TCGA)
TCGA-BA-4076-01A-01R-1436-07	HNSC (TCGA)
TCGA-BA-4078-01A-01R-1436-07	HNSC (TCGA)
TCGA-BA-5149-01A-01R-1514-07	HNSC (TCGA)
TCGA-BA-5151-01A-01R-1436-07	HNSC (TCGA)
TCGA-BA-5152-01A-02R-1873-07	HNSC (TCGA)
TCGA-BA-5153-01A-01R-1436-07	HNSC (TCGA)
TCGA-BA-5555-01A-01R-1514-07	HNSC (TCGA)
TCGA-BA-5556-01A-01R-1514-07	HNSC (TCGA)
TCGA-BA-5558-01A-01R-1514-07	HNSC (TCGA)
TCGA-BA-6868-01B-12R-1915-07	HNSC (TCGA)
TCGA-BA-6869-01A-11R-1873-07	HNSC (TCGA)
TCGA-BA-6872-01A-11R-1873-07	HNSC (TCGA)
TCGA-BA-6873-01A-11R-1873-07	HNSC (TCGA)
TCGA-BA-7269-01A-11R-2016-07	HNSC (TCGA)
TCGA-BA-A4IF-01A-11R-A266-07	HNSC (TCGA)
TCGA-BA-A4IG-01A-11R-A266-07	HNSC (TCGA)
TCGA-BA-A4IH-01A-11R-A266-07	HNSC (TCGA)
TCGA-BA-A4II-01A-11R-A266-07	HNSC (TCGA)
TCGA-BA-A6D8-01A-31R-A31N-07	HNSC (TCGA)
TCGA-BA-A6DA-01A-31R-A31N-07	HNSC (TCGA)
TCGA-BA-A6DB-01A-11R-A30B-07	HNSC (TCGA)
TCGA-BA-A6DD-01A-12R-A31N-07	HNSC (TCGA)
TCGA-BA-A6DE-01A-22R-A31N-07	HNSC (TCGA)
TCGA-BA-A6DG-01A-21R-A30B-07	HNSC (TCGA)
TCGA-BA-A6DI-01A-11R-A30B-07	HNSC (TCGA)
TCGA-BA-A6DJ-01A-11R-A30B-07	HNSC (TCGA)
TCGA-BA-A6DL-01A-21R-A30B-07	HNSC (TCGA)
TCGA-BA-A8YP-01A-11R-A39I-07	HNSC (TCGA)
TCGA-BB-4217-01A-11R-2081-07	HNSC (TCGA)
TCGA-BB-4223-01A-01R-1436-07	HNSC (TCGA)
TCGA-BB-4224-01A-01R-1436-07	HNSC (TCGA)
TCGA-BB-4225-01A-01R-1436-07	HNSC (TCGA)
TCGA-BB-4227-01A-01R-1873-07	HNSC (TCGA)
TCGA-BB-4228-01A-01R-1436-07	HNSC (TCGA)
TCGA-BB-7861-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7862-01A-21R-2232-07	HNSC (TCGA)
TCGA-BB-7863-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7864-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7866-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7870-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7871-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-7872-01A-11R-2232-07	HNSC (TCGA)
TCGA-BB-8596-01A-11R-2403-07	HNSC (TCGA)
TCGA-BB-8601-01A-11R-2403-07	HNSC (TCGA)
TCGA-BB-A5HU-01A-11R-A28V-07	HNSC (TCGA)
TCGA-BB-A5HY-01A-11R-A28V-07	HNSC (TCGA)
TCGA-BB-A5HZ-01A-21R-A28V-07	HNSC (TCGA)
TCGA-BB-A6UM-01A-12R-A34R-07	HNSC (TCGA)
TCGA-BB-A6UO-01A-12R-A34R-07	HNSC (TCGA)
TCGA-C9-A47Z-01A-11R-A24H-07	HNSC (TCGA)
TCGA-C9-A480-01A-12R-A24H-07	HNSC (TCGA)
TCGA-CN-4722-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4723-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4725-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4726-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4728-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4729-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4730-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4731-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4733-01A-02R-1873-07	HNSC (TCGA)
TCGA-CN-4734-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4735-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4736-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4737-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4738-01A-02R-1514-07	HNSC (TCGA)
TCGA-CN-4739-01A-02R-1514-07	HNSC (TCGA)
TCGA-CN-4740-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4741-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-4742-01A-02R-1514-07	HNSC (TCGA)
TCGA-CN-5355-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5356-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5358-01A-01R-1514-07	HNSC (TCGA)
TCGA-CN-5359-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5360-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5361-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5363-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5364-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5365-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5366-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5367-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5369-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5370-01A-01R-2016-07	HNSC (TCGA)
TCGA-CN-5373-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-5374-01A-01R-1436-07	HNSC (TCGA)
TCGA-CN-6010-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6011-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6012-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6013-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6016-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6017-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6018-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6019-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6020-01A-11R-1686-07	HNSC (TCGA)
TCGA-CN-6988-01A-11R-1915-07	HNSC (TCGA)
TCGA-CN-6989-01A-11R-1915-07	HNSC (TCGA)
TCGA-CN-6994-01A-11R-1915-07	HNSC (TCGA)
TCGA-CN-6995-01A-31R-2016-07	HNSC (TCGA)
TCGA-CN-6996-01A-11R-1915-07	HNSC (TCGA)
TCGA-CN-6998-01A-23R-2016-07	HNSC (TCGA)
TCGA-CN-A497-01A-11R-A24H-07	HNSC (TCGA)
TCGA-CN-A498-01A-11R-A24H-07	HNSC (TCGA)
TCGA-CN-A499-01A-11R-A24H-07	HNSC (TCGA)
TCGA-CN-A49A-01A-11R-A24H-07	HNSC (TCGA)
TCGA-CN-A49B-01A-31R-A24H-07	HNSC (TCGA)
TCGA-CN-A49C-01A-11R-A24H-07	HNSC (TCGA)
TCGA-CN-A63T-01A-11R-A28V-07	HNSC (TCGA)
TCGA-CN-A63U-01A-11R-A30B-07	HNSC (TCGA)
TCGA-CN-A63V-01A-11R-A466-07	HNSC (TCGA)
TCGA-CN-A63W-01A-11R-A30B-07	HNSC (TCGA)
TCGA-CN-A641-01A-11R-A30B-07	HNSC (TCGA)
TCGA-CN-A642-01A-12R-A30B-07	HNSC (TCGA)
TCGA-CN-A6UY-01A-12R-A34R-07	HNSC (TCGA)
TCGA-CN-A6V1-01A-12R-A34R-07	HNSC (TCGA)
TCGA-CN-A6V3-01A-12R-A34R-07	HNSC (TCGA)
TCGA-CN-A6V6-01A-12R-A34R-07	HNSC (TCGA)
TCGA-CN-A6V7-01A-12R-A34R-07	HNSC (TCGA)
TCGA-CQ-5324-01A-01R-1686-07	HNSC (TCGA)
TCGA-CQ-5325-01A-01R-1686-07	HNSC (TCGA)
TCGA-CQ-5326-01A-01R-1873-07	HNSC (TCGA)
TCGA-CQ-5327-01A-01R-1686-07	HNSC (TCGA)
