Sample_name	Target
TCGA-CS-4938-01B-11R-1896-07	LGG (TCGA)
TCGA-CS-4941-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-4942-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-4943-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-4944-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-5390-01A-02R-1470-07	LGG (TCGA)
TCGA-CS-5393-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-5394-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-5395-01A-01R-1470-07	LGG (TCGA)
TCGA-CS-5396-01A-02R-1470-07	LGG (TCGA)
TCGA-CS-5397-01A-01R-1896-07	LGG (TCGA)
TCGA-CS-6186-01A-12R-2027-07	LGG (TCGA)
TCGA-CS-6188-01A-11R-1896-07	LGG (TCGA)
TCGA-CS-6290-01A-11R-1708-07	LGG (TCGA)
TCGA-CS-6666-01A-11R-1896-07	LGG (TCGA)
TCGA-CS-6667-01A-12R-2027-07	LGG (TCGA)
TCGA-CS-6668-01A-11R-1896-07	LGG (TCGA)
TCGA-CS-6669-01A-11R-1896-07	LGG (TCGA)
TCGA-DB-5273-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5274-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5275-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5276-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5277-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5278-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5279-01A-03R-2347-07	LGG (TCGA)
TCGA-DB-5280-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-5281-01A-01R-1470-07	LGG (TCGA)
TCGA-DB-A4X9-01A-11R-A26U-07	LGG (TCGA)
TCGA-DB-A4XA-01A-11R-A26U-07	LGG (TCGA)
TCGA-DB-A4XB-01A-11R-A26U-07	LGG (TCGA)
TCGA-DB-A4XC-01A-11R-A26U-07	LGG (TCGA)
TCGA-DB-A4XD-01A-11R-A27Q-07	LGG (TCGA)
TCGA-DB-A4XE-01A-11R-A27Q-07	LGG (TCGA)
TCGA-DB-A4XF-01A-11R-A27Q-07	LGG (TCGA)
TCGA-DB-A4XG-01A-11R-A27Q-07	LGG (TCGA)
TCGA-DB-A4XH-01A-11R-A27Q-07	LGG (TCGA)
TCGA-DB-A64L-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64O-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64P-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64Q-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64R-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64S-01A-11R-A29R-07	LGG (TCGA)
TCGA-DB-A64U-01A-11R-A29R-07	LGG (TCGA)
