Sample_name	Target
TCGA-2V-A95S-01A-11R-A37K-07	LIHC (TCGA)
TCGA-2Y-A9GS-01A-12R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GT-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GU-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GV-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GW-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GX-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GY-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9GZ-01A-11R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9H0-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H1-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H2-01A-12R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H3-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H4-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H5-01A-11R-A38B-07	LIHC (TCGA)
TCGA-2Y-A9H6-01A-11R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9H7-01A-11R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9H8-01A-11R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9H9-01A-21R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9HA-01A-11R-A39D-07	LIHC (TCGA)
TCGA-2Y-A9HB-01A-11R-A39D-07	LIHC (TCGA)
TCGA-3K-AAZ8-01A-12R-A39D-07	LIHC (TCGA)
TCGA-4R-AA8I-01A-11R-A38B-07	LIHC (TCGA)
TCGA-5C-A9VG-01A-11R-A37K-07	LIHC (TCGA)
TCGA-5C-A9VH-01A-11R-A37K-07	LIHC (TCGA)
TCGA-5C-AAPD-01A-21R-A39D-07	LIHC (TCGA)
TCGA-5R-AA1C-01A-11R-A41C-07	LIHC (TCGA)
TCGA-5R-AA1D-01A-11R-A38B-07	LIHC (TCGA)
TCGA-5R-AAAM-01A-12R-A41C-07	LIHC (TCGA)
TCGA-BC-A10R-11A-11R-A131-07	LIHC (TCGA)
TCGA-BC-A10T-11A-11R-A131-07	LIHC (TCGA)
TCGA-BC-A10U-11A-11R-A131-07	LIHC (TCGA)
