Sample_name	Target
TCGA-38-4625-11A-01R-1758-07	LUAD (TCGA)
TCGA-38-4626-11A-01R-1758-07	LUAD (TCGA)
TCGA-38-4627-11A-01R-1758-07	LUAD (TCGA)
TCGA-38-4632-11A-01R-1755-07	LUAD (TCGA)
TCGA-38-A44F-01A-11R-A24H-07	LUAD (TCGA)
TCGA-44-2655-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-2657-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-2662-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-2665-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-2668-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-3396-11A-01R-1758-07	LUAD (TCGA)
TCGA-44-3398-11B-01R-1758-07	LUAD (TCGA)
TCGA-44-5645-11A-01R-1628-07	LUAD (TCGA)
TCGA-44-6144-11A-01R-1755-07	LUAD (TCGA)
TCGA-44-6145-11A-01R-1858-07	LUAD (TCGA)
TCGA-44-6148-11A-01R-1858-07	LUAD (TCGA)
TCGA-44-6777-11A-01R-1858-07	LUAD (TCGA)
TCGA-44-6778-11A-01R-1858-07	LUAD (TCGA)
TCGA-44-8117-01A-11R-2241-07	LUAD (TCGA)
TCGA-44-8120-01A-11R-2241-07	LUAD (TCGA)
TCGA-44-A479-01A-31R-A24H-07	LUAD (TCGA)
TCGA-44-A47A-01A-21R-A24H-07	LUAD (TCGA)
TCGA-44-A47B-01A-11R-A24H-07	LUAD (TCGA)
TCGA-44-A47G-01A-21R-A24H-07	LUAD (TCGA)
TCGA-44-A4SS-01A-11R-A24X-07	LUAD (TCGA)
TCGA-44-A4SU-01A-11R-A24X-07	LUAD (TCGA)
TCGA-49-4490-11A-01R-1858-07	LUAD (TCGA)
TCGA-49-4512-11A-01R-1858-07	LUAD (TCGA)
TCGA-49-6743-11A-01R-1858-07	LUAD (TCGA)
TCGA-49-6744-11A-01R-1858-07	LUAD (TCGA)
TCGA-49-6761-11A-01R-1949-07	LUAD (TCGA)
TCGA-49-AAQV-01A-11R-A39D-07	LUAD (TCGA)
TCGA-49-AAR0-01A-21R-A39D-07	LUAD (TCGA)
TCGA-49-AAR2-01A-11R-A39D-07	LUAD (TCGA)
TCGA-49-AAR3-01A-11R-A41B-07	LUAD (TCGA)
TCGA-49-AAR4-01A-12R-A41B-07	LUAD (TCGA)
TCGA-49-AAR9-01A-21R-A41B-07	LUAD (TCGA)
TCGA-49-AARE-01A-11R-A41B-07	LUAD (TCGA)
TCGA-49-AARN-01A-21R-A41B-07	LUAD (TCGA)
TCGA-49-AARO-01A-12R-A41B-07	LUAD (TCGA)
TCGA-49-AARQ-01A-11R-A41B-07	LUAD (TCGA)
TCGA-49-AARR-01A-11R-A41B-07	LUAD (TCGA)
TCGA-4B-A93V-01A-11R-A39D-07	LUAD (TCGA)
TCGA-50-5066-02A-11R-2090-07	LUAD (TCGA)
TCGA-50-5930-11A-01R-1755-07	LUAD (TCGA)
TCGA-50-5931-11A-01R-1858-07	LUAD (TCGA)
TCGA-50-5933-11A-01R-1755-07	LUAD (TCGA)
TCGA-50-5936-11A-01R-1628-07	LUAD (TCGA)
TCGA-50-5946-02A-11R-2090-07	LUAD (TCGA)
TCGA-50-6595-11A-01R-1858-07	LUAD (TCGA)
TCGA-50-8457-01A-11R-2326-07	LUAD (TCGA)
TCGA-50-8459-01A-11R-2326-07	LUAD (TCGA)
TCGA-50-8460-01A-11R-2326-07	LUAD (TCGA)
