Sample_name	Target
TCGA-18-3408-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3411-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3412-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3414-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3415-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3417-01A-01R-1443-07	LUSC (TCGA)
TCGA-18-3419-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-3421-01A-01R-0980-07	LUSC (TCGA)
TCGA-18-4086-01A-01R-1100-07	LUSC (TCGA)
TCGA-18-4721-01A-01R-1443-07	LUSC (TCGA)
TCGA-18-5592-01A-01R-1635-07	LUSC (TCGA)
TCGA-21-1071-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1072-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1075-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1076-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1076-01A-02R-0692-07	LUSC (TCGA)
TCGA-21-1079-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1080-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-1082-01A-01R-0692-07	LUSC (TCGA)
TCGA-21-5782-01A-01R-1635-07	LUSC (TCGA)
TCGA-21-5783-01A-41R-2187-07	LUSC (TCGA)
TCGA-21-5784-01A-01R-1635-07	LUSC (TCGA)
TCGA-21-5786-01A-01R-1635-07	LUSC (TCGA)
TCGA-21-5787-01A-01R-1635-07	LUSC (TCGA)
TCGA-22-0940-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-0944-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-1002-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-1005-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-1011-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-1012-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-1016-01A-01R-0692-07	LUSC (TCGA)
TCGA-22-4591-01A-01R-1201-07	LUSC (TCGA)
TCGA-22-4593-01A-21R-1820-07	LUSC (TCGA)
TCGA-22-4593-11A-01R-1820-07	LUSC (TCGA)
TCGA-22-4594-01A-01R-1201-07	LUSC (TCGA)
