Sample_name	Target
TCGA-AF-2687-01A-02R-1736-07	READ (TCGA)
TCGA-AF-2689-11A-01R-A32Z-07	READ (TCGA)
TCGA-AF-2690-01A-02R-1736-07	READ (TCGA)
TCGA-AF-2691-11A-01R-A32Z-07	READ (TCGA)
TCGA-AF-3400-11A-01R-A32Z-07	READ (TCGA)
TCGA-AF-3911-01A-01R-1736-07	READ (TCGA)
TCGA-AF-4110-01A-02R-1736-07	READ (TCGA)
TCGA-AF-5654-01A-01R-1660-07	READ (TCGA)
TCGA-AF-5654-11A-11R-1660-07	READ (TCGA)
TCGA-AF-6136-01A-11R-1830-07	READ (TCGA)
TCGA-AF-6655-01A-11R-1830-07	READ (TCGA)
TCGA-AF-6672-01A-11R-1830-07	READ (TCGA)
TCGA-AF-A56K-01A-32R-A39D-07	READ (TCGA)
TCGA-AF-A56L-01A-31R-A39D-07	READ (TCGA)
TCGA-AF-A56N-01A-12R-A39D-07	READ (TCGA)
TCGA-AG-3591-01A-01R-1736-07	READ (TCGA)
TCGA-AG-3592-01A-02R-1736-07	READ (TCGA)
TCGA-AG-3725-01A-11R-1736-07	READ (TCGA)
TCGA-AG-3725-11A-01R-1736-07	READ (TCGA)
TCGA-AG-3731-01A-11R-1736-07	READ (TCGA)
TCGA-AG-3731-11A-01R-1736-07	READ (TCGA)
TCGA-AG-3732-01A-11R-1660-07	READ (TCGA)
TCGA-AG-3732-11A-01R-1660-07	READ (TCGA)
TCGA-AG-3742-01A-11R-1660-07	READ (TCGA)
TCGA-AG-3742-11A-01R-1660-07	READ (TCGA)
TCGA-AG-3902-01A-01R-A32Z-07	READ (TCGA)
TCGA-AG-4021-01A-01R-1736-07	READ (TCGA)
TCGA-AG-4022-01A-01R-1736-07	READ (TCGA)
TCGA-AH-6544-01A-11R-1830-07	READ (TCGA)
TCGA-AH-6547-01A-11R-1830-07	READ (TCGA)
TCGA-AH-6549-01A-11R-1830-07	READ (TCGA)
TCGA-AH-6643-01A-11R-1830-07	READ (TCGA)
TCGA-AH-6643-11A-01R-1830-07	READ (TCGA)
TCGA-AH-6644-01A-21R-1830-07	READ (TCGA)
TCGA-AH-6897-01A-11R-1928-07	READ (TCGA)
TCGA-AH-6903-01A-11R-1928-07	READ (TCGA)
TCGA-CI-6619-01B-11R-1830-07	READ (TCGA)
TCGA-CI-6621-01A-11R-1830-07	READ (TCGA)
TCGA-CI-6622-01A-11R-1830-07	READ (TCGA)
TCGA-CI-6623-01B-11R-1830-07	READ (TCGA)
TCGA-CI-6624-01C-11R-1830-07	READ (TCGA)
TCGA-CL-4957-01A-01R-1736-07	READ (TCGA)
TCGA-CL-5917-01A-11R-1660-07	READ (TCGA)
TCGA-CL-5918-01A-11R-1660-07	READ (TCGA)
TCGA-DC-4745-01A-01R-A32Z-07	READ (TCGA)
TCGA-DC-4749-01A-01R-1736-07	READ (TCGA)
TCGA-DC-5337-01A-01R-1660-07	READ (TCGA)
TCGA-DC-5869-01A-01R-1660-07	READ (TCGA)
TCGA-DC-6154-01A-31R-1928-07	READ (TCGA)
TCGA-DC-6155-01A-11R-1660-07	READ (TCGA)
TCGA-DC-6156-01A-11R-1660-07	READ (TCGA)
TCGA-DC-6157-01A-11R-1660-07	READ (TCGA)
TCGA-DC-6158-01A-11R-1660-07	READ (TCGA)
TCGA-DC-6160-01A-11R-1660-07	READ (TCGA)
TCGA-DC-6681-01A-11R-A32Z-07	READ (TCGA)
TCGA-DC-6682-01A-11R-1830-07	READ (TCGA)
TCGA-DC-6683-01A-11R-1830-07	READ (TCGA)
TCGA-DT-5265-01A-21R-1830-07	READ (TCGA)
TCGA-DY-A0XA-01A-11R-A155-07	READ (TCGA)
TCGA-DY-A1DC-01A-31R-A155-07	READ (TCGA)
TCGA-DY-A1DD-01A-21R-A155-07	READ (TCGA)
TCGA-DY-A1DE-01A-11R-A155-07	READ (TCGA)
TCGA-DY-A1DF-01A-11R-A155-07	READ (TCGA)
TCGA-DY-A1DG-01A-11R-A32Y-07	READ (TCGA)
TCGA-DY-A1H8-01A-21R-A155-07	READ (TCGA)
TCGA-EF-5830-01A-01R-1660-07	READ (TCGA)
TCGA-EF-5831-01A-01R-1660-07	READ (TCGA)
TCGA-EI-6506-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6507-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6508-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6509-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6510-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6511-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6512-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6513-01A-21R-1736-07	READ (TCGA)
TCGA-EI-6514-01A-11R-1736-07	READ (TCGA)
TCGA-EI-6881-01A-11R-A32Z-07	READ (TCGA)
TCGA-EI-6882-01A-11R-1928-07	READ (TCGA)
TCGA-EI-6883-01A-31R-1928-07	READ (TCGA)
TCGA-EI-6884-01A-11R-1928-07	READ (TCGA)
TCGA-EI-6885-01A-11R-1928-07	READ (TCGA)
TCGA-EI-6917-01A-11R-1928-07	READ (TCGA)
TCGA-EI-7002-01A-11R-1928-07	READ (TCGA)
TCGA-EI-7004-01A-11R-1928-07	READ (TCGA)
TCGA-F5-6464-01A-11R-1736-07	READ (TCGA)
TCGA-F5-6465-01A-11R-1736-07	READ (TCGA)
TCGA-F5-6571-01A-12R-1830-07	READ (TCGA)
TCGA-F5-6702-01A-11R-1830-07	READ (TCGA)
TCGA-F5-6810-01A-11R-1830-07	READ (TCGA)
TCGA-F5-6811-01A-11R-1830-07	READ (TCGA)
TCGA-F5-6812-01A-11R-1830-07	READ (TCGA)
TCGA-F5-6813-01A-11R-1830-07	READ (TCGA)
TCGA-F5-6814-01A-31R-1928-07	READ (TCGA)
TCGA-F5-6861-01A-11R-1928-07	READ (TCGA)
TCGA-F5-6863-01A-11R-1928-07	READ (TCGA)
TCGA-F5-6864-01A-11R-1928-07	READ (TCGA)
