Sample_name	Target
TCGA-3N-A9WB-06A-11R-A38C-07	SKCM (TCGA)
TCGA-3N-A9WC-06A-11R-A38C-07	SKCM (TCGA)
TCGA-3N-A9WD-06A-11R-A38C-07	SKCM (TCGA)
TCGA-BF-A9VF-01A-11R-A37K-07	SKCM (TCGA)
TCGA-BF-AAOU-01A-12R-A39D-07	SKCM (TCGA)
TCGA-BF-AAOX-01A-11R-A39D-07	SKCM (TCGA)
TCGA-BF-AAP0-06A-11R-A39D-07	SKCM (TCGA)
TCGA-BF-AAP1-01A-11R-A39D-07	SKCM (TCGA)
TCGA-BF-AAP2-01A-11R-A40A-07	SKCM (TCGA)
TCGA-BF-AAP4-01A-11R-A40A-07	SKCM (TCGA)
TCGA-BF-AAP6-01A-11R-A40A-07	SKCM (TCGA)
TCGA-BF-AAP7-01A-11R-A40A-07	SKCM (TCGA)
TCGA-BF-AAP8-01A-11R-A40A-07	SKCM (TCGA)
TCGA-D3-A1QA-07A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A2JE-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A5GL-06A-11R-A27Q-07	SKCM (TCGA)
TCGA-D3-A5GU-06A-11R-A27Q-07	SKCM (TCGA)
TCGA-D3-A8GB-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GC-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GD-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GE-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GI-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GJ-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GK-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GL-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GM-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GN-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GO-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GP-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GQ-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GR-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GS-06A-12R-A37K-07	SKCM (TCGA)
TCGA-D3-A8GV-06A-11R-A37K-07	SKCM (TCGA)
TCGA-D9-A1X3-06A-11R-A18S-07	SKCM (TCGA)
TCGA-D9-A4Z6-06A-12R-A266-07	SKCM (TCGA)
TCGA-D9-A6EG-06A-12R-A32P-07	SKCM (TCGA)
TCGA-DA-A95V-06A-11R-A37K-07	SKCM (TCGA)
TCGA-DA-A95W-06A-11R-A37K-07	SKCM (TCGA)
TCGA-DA-A95X-06A-11R-A37K-07	SKCM (TCGA)
TCGA-DA-A95Y-06A-11R-A37K-07	SKCM (TCGA)
TCGA-DA-A95Z-06A-11R-A37K-07	SKCM (TCGA)
TCGA-DA-A960-01A-11R-A37K-07	SKCM (TCGA)
TCGA-EB-A5VU-01A-21R-A32P-07	SKCM (TCGA)
TCGA-EB-A5VV-06A-11R-A32P-07	SKCM (TCGA)
TCGA-EB-A6L9-06A-11R-A32P-07	SKCM (TCGA)
TCGA-EB-A6QY-01A-12R-A32P-07	SKCM (TCGA)
TCGA-EB-A6QZ-01A-12R-A32P-07	SKCM (TCGA)
TCGA-EB-A6R0-01A-12R-A32P-07	SKCM (TCGA)
