Sample_name	Target
Sample_1	PAAD (UMCCR)
Sample_2	PAAD (UMCCR)
Sample_3	PAAD (UMCCR)
Sample_4	PAAD (UMCCR)
Sample_5	PAAD (UMCCR)
Sample_6	PAAD (UMCCR)
Sample_7	PAAD (UMCCR)
Sample_8	PAAD (UMCCR)
Sample_9	PAAD (UMCCR)
Sample_10	PAAD (UMCCR)
Sample_11	PAAD (UMCCR)
Sample_12	PAAD (UMCCR)
Sample_13	PAAD (UMCCR)
Sample_14	PAAD (UMCCR)
Sample_15	PAAD (UMCCR)
Sample_16	PAAD (UMCCR)
Sample_17	PAAD (UMCCR)
Sample_18	PAAD (UMCCR)
Sample_19	PAAD (UMCCR)
Sample_20	PAAD (UMCCR)
Sample_21	PAAD (UMCCR)
Sample_22	PAAD (UMCCR)
Sample_23	PAAD (UMCCR)
Sample_24	PAAD (UMCCR)
Sample_25	PAAD (UMCCR)
Sample_26	PAAD (UMCCR)
Sample_27	PAAD (UMCCR)
Sample_28	PAAD (UMCCR)
Sample_29	PAAD (UMCCR)
Sample_30	PAAD (UMCCR)
Sample_31	PAAD (UMCCR)
Sample_32	PAAD (UMCCR)
Sample_33	PAAD (UMCCR)
Sample_34	PAAD (UMCCR)
Sample_35	PAAD (UMCCR)
Sample_36	PAAD (UMCCR)
Sample_37	PAAD (UMCCR)
Sample_38	PAAD (UMCCR)
Sample_39	PAAD (UMCCR)
Sample_40	PAAD (UMCCR)
